title,company,location,salary,description,role,skills,source
Data Analyst,S&P Global,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Barclays,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst (Lgbt+ Event),Natwest Services,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Alt Nrg,Delhi,500000.0-800000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,S&P Global Market Intelligence,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst (Lgbt+ Event),Natwest Markets,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Webkit24,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Decisiontree Analytics & Services,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Sharechat,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Pinkerton,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
"Data Analyst, South Apac",Criteo,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Procurement Data Analyst,G4S Corporate Services (India),Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Fabel Services Pvt Ltd.,Delhi,1000000.0-1500000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Us Mnc,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,M 5 Continents Logistics Solution Pvt Ltd,Delhi,150000.0-350000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Idemia Syscom,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Orange Business Services,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst(Female) Greater Noida Mail At Devendra@Cmp.Co.In,Cybernetic Management Professionals,Delhi,650000.0-800000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Globallogic,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Site Data Analyst,Apraava Renewable Energy,Delhi,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Siemens,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Fresher/ Banking/ Data Analyst/ Excel/Bangalore/ Immediate,Quantum Leap Consulting,Bangalore,200000.0-275000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst/Fresher,Quantum Leap Consulting,Bangalore,100000.0-275000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Bt - Data Sciece & Data Analyst,Sagility Healthcare,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - L3,Wipro,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Staff Data Analyst,Truecaller,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Corporate Web Solutions,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - L4,Wipro,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Randstad,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Pazcare,Bangalore,550000.0-1000000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Client Data Analyst,Jpmorgan Chase Bank,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Viaprom Technologies,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Freelancer Trainer : Data Analyst,Webtech Softwares,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Mindteck,Bangalore,1500000.0-1700000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Firm In Media,Bangalore,1800000.0-2500000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Top Mnc,Bangalore,1500000.0-3000000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Bromine Infotech,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Leading Client,Bangalore,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst(English Required),Peroptyx,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - C,Capgemini,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Sleep Company Is Hiring Data Analyst,The Sleep Company,Mumbai,400000.0-800000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
